kode;urusankd;programkd;kode2;nama;level
"0.00.02.24";"0.00";"02";"24";"Pemeliharaan rutin/berkala kendaraan dinas/operasional";0
"0.00.02.25";"0.00";"02";"25";"Pemeliharaan rutin/berkala perlengkapan rumah jabatan/dinas";0
"0.00.02.26";"0.00";"02";"26";"Pemeliharaan rutin/berkala perlengkapan gedung kantor";0
"0.00.02.27";"0.00";"02";"27";"Pemeliharaan rutin/berkala peralatan rumah jabatan/dinas";0
"0.00.02.28";"0.00";"02";"28";"Pemeliharaan rutin/berkala peralatan gedung kantor";0
"0.00.02.29";"0.00";"02";"29";"Pemeliharaan rutin/berkala mebeleur";0
"0.00.02.30";"0.00";"02";"30";"Pemeliharaan rutin/berkala .";0
"0.00.02.40";"0.00";"02";"40";"Rehabilitasi sedang/berat rumah jabatan";0
"0.00.02.41";"0.00";"02";"41";"Rehabilitasi sedang/berat rumah dinas";0
"0.00.02.42";"0.00";"02";"42";"Rehabilitasi sedang/berat gedung kantor";0
"0.00.02.43";"0.00";"02";"43";"Rehabilitasi sedang/berat mobil jabatan";0
"0.00.02.44";"0.00";"02";"44";"Rehabilitasi sedang/berat kendaraan dinas/operasional";0
"0.00.02.45";"0.00";"02";"45";"Pemeliharaan rutin kendaraan operasional Kebersihan";0
"0.00.02.46";"0.00";"02";"46";"Pemeliharaan rutin kendaraan operasional pertamanan";0
"0.00.02.47";"0.00";"02";"47";"Pemeliharaan rutin kendaraan operasional PJU";0
"0.00.02.48";"0.00";"02";"48";"Pemeliharaan rutin/berkala kendaraan Lumpur Tinja";0
"0.00.02.49";"0.00";"02";"49";"Pemeliharaan rutin/Berkala Peralatan Kantor";0
"0.00.02.50";"0.00";"02";"50";"Pemeliharaan rutin/berkala peralatan pemadam kabakaran";0
"0.00.02.51";"0.00";"02";"51";"Penyediaan Jasa Kebersihan ";0
"0.00.02.52";"0.00";"02";"52";"Penataan Ruang Hijau di SKPD";0
"0.00.02.53";"0.00";"02";"53";"Kajian Tunjangan Perumahan DPRD";0
"0.00.03.01";"0.00";"03";"01";"Pengadaan mesin/kartu absensi";0
"0.00.03.02";"0.00";"03";"02";"Pengadaan pakaian dinas beserta perlengkapannya";0
"0.00.03.03";"0.00";"03";"03";"Pengadaan pakaian kerja lapangan";0
"0.00.03.04";"0.00";"03";"04";"Pengadaan pakaian KORPRI";0
"0.00.03.05";"0.00";"03";"05";"Pengadaan pakaian khusus hari-hari tertentu";0
"0.00.03.06";"0.00";"03";"06";"Pengadaan Sistem Manajemn Informasi  Kepagawaian";0
"0.00.03.07";"0.00";"03";"07";"Peningkatan Koordinasi dan Kompetensi Aparatur";0
"0.00.03.08";"0.00";"03";"08";"Standar Operasional Prosedur";0
"0.00.04.01";"0.00";"04";"01";"Pemulangan pegawai yang pensiun";0
"0.00.04.02";"0.00";"04";"02";"Pemulangan pegawai yang tewas dalam melaksanakan tugas";0
"0.00.04.03";"0.00";"04";"03";"Pemindahan tugas PNS";0
"0.00.05.01";"0.00";"05";"01";"Pendidikan dan pelatihan formal";0
"0.00.05.02";"0.00";"05";"02";"Sosialisasi peraturan perundang-undangan";0
"0.00.05.03";"0.00";"05";"03";"Bimbingan teknis implementasi peraturan perundang-undangan";0
"0.00.05.04";"0.00";"05";"04";"Pendidikan dan Pelatihan Teknologi dan Informatika";0
"0.00.05.05";"0.00";"05";"05";"Bimbingan Teknis Pengelolaan Keuangan";0
"0.00.05.06";"0.00";"05";"06";"Pembinaan Pegawai Lingkup SKPD";0
"0.00.05.07";"0.00";"05";"07";"Bimbingan Teknis Pengelolaan Tata Usaha";0
"0.00.05.08";"0.00";"05";"08";"Bimbingan Teknis Pengawasan";0
"0.00.05.09";"0.00";"05";"09";"Peningkatan Kompentensi Aparatur";0
"0.00.06.";"0.00";"06";;;0
"0.00.06.01";"0.00";"06";"01";"Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD";0
"0.00.06.02";"0.00";"06";"02";"Penyusunan laporan keuangan semesteran";0
"0.00.06.03";"0.00";"06";"03";"Penyusunan pelaporan prognosis realisasi anggaran";0
"0.00.06.04";"0.00";"06";"04";"Penyusunan pelaporan keuangan akhir tahun";0
"0.00.06.05";"0.00";"06";"05";"Penyusunan Laporan Keuangan Semester II";0
"0.00.06.06";"0.00";"06";"06";"Pembuatan Jaringan Penunjang Sistem Keuangan";0
"0.00.06.07";"0.00";"06";"07";"Konversi dan verifikasi Data Gaji PNS SKPD";0
"0.00.06.08";"0.00";"06";"08";"Pemutakhiran data gaji PNS SKPD";0
"0.00.06.09";"0.00";"06";"09";"Penyusunan Laporan Keuangan";0
"0.00.06.10";"0.00";"06";"10";"Sosialisasi sistem Informasi Keuangan Pemerintah Daerah";0
"0.00.06.15";"0.00";"06";"15";"Penatausahaan Belanja Hibah, Bantuan Sosial, Bantuan Keuangan dan Belanja Tidak terduga";0
"0.00.07.01";"0.00";"07";"01";"Fasilitasi Perencanaan SKPD";0
"0.00.07.02";"0.00";"07";"02";"Penyusunan Dokumen Perencanaan SKPD";0
"0.00.07.03";"0.00";"07";"03";"Penyusunan Renstra";0
"0.00.07.04";"0.00";"07";"04";"Penyusunan Rencana Kerja";0
"0.00.07.05";"0.00";"07";"05";"Pengelolaan Asset SKPD/Barang Daerah";0
"0.00.07.06";"0.00";"07";"06";"Bintek Perencanaan SKPD";0
"0.00.07.07";"0.00";"07";"07";"Publikasi Informasi Pendidikan";0
"0.00.07.08";"0.00";"07";"08";"Penyusunan Basis Data/Selayang Pandang/Profil SKPD";0
"0.00.07.09";"0.00";"07";"09";"Monitoring, Evaluasi dan Pelaporan";0
"0.00.07.10";"0.00";"07";"10";"Evaluasi Administrasi di Lingkup SETDA";0
"0.00.07.11";"0.00";"07";"11";"Evaluasi Administrasi Keuangan di Lingkup SKPD";0
"0.00.07.12";"0.00";"07";"12";"Penyediaan Data Pembangunan SKPD/Wilayah";0
"0.00.07.13";"0.00";"07";"13";"Penyediaan Data Pembangunan SKPD";0
"0.00.07.14";"0.00";"07";"14";"Monitoring, Evaluasi dan Pelaporan";0
"0.00.07.15";"0.00";"07";"15";"Inventarisasi Aset/Barang Daerah";0
"0.00.07.16";"0.00";"07";"16";"Pengelolaan Arsip SKPD";0
"0.00.08.01";"0.00";"08";"01";"Dialog/audiensi dengan tokoh-tokoh masyarakat, pimpinan/anggota organisasi sosial/kemasyarakatan";0
"0.00.08.02";"0.00";"08";"02";"Penerimaan kunjungan kerja pejabat negara/departemen/lembaga pemerintah non departemen/luar negeri";0
"0.00.08.03";"0.00";"08";"03";"Rapat koordinasi dengan unsur MUSPIDA";0
"0.00.08.04";"0.00";"08";"04";"Rapat koordinasi dengan pejabat pemerintah daerah";0
"0.00.08.05";"0.00";"08";"05";"Kunjungan kerja/inspeksi kepala daerah/wakil kepala daerah";0
"0.00.08.06";"0.00";"08";"06";"Koordinasi dengan pemerintah dan pemerintah daerah lainnya";0
"0.00.08.07";"0.00";"08";"07";"Rapat Koordinasi Lingkup Bidang Keuangan";0
"0.00.08.08";"0.00";"08";"08";"Rapat Koordinasi Tim Anggaran Pemerintah Daerah";0
"0.00.08.09";"0.00";"08";"09";"Rapat Koordinasi Pejabat Pemerintah Daerah Bidang Perekonomian dan Pembangunan";0
"0.00.08.10";"0.00";"08";"10";"Rapat koordinasi pejabat pemerintah daerah bidang pemerintahan dan kesra";0
"0.00.08.11";"0.00";"08";"11";"Rapat Koordinasi Pejabat Pemerintah bidang Administrasi Umum";0
"0.00.08.12";"0.00";"08";"12";"Rapat - Rapat Koordinasi Lingkup Staf Ahli Bupati";0
"0.00.08.13";"0.00";"08";"13";"Peningkatan dan Pemeliharaan Kesehatan KDH/WKDH";0
"0.00.08.14";"0.00";"08";"14";"Penyusunan dan Pembuatan Naskah Sambutan KDH/WKDH";0
"0.00.08.15";"0.00";"08";"15";"fasilitasi upacara hari besar nasional";0
"0.00.08.16";"0.00";"08";"16";"Rapat Koordinasi Pejabat Pemerintah Daerah Bidang Pengawasan";0
"0.00.09.01";"0.00";"09";"01";"Belanja Rumah Sakit Umum Daerah";0
"0.00.09.02";"0.00";"09";"02";"Belanja UPDB KUMKM Dinas Koperasi";0
"1.01.15.01";"1.01";"15";"01";"Pembangunan gedung sekolah";0
"1.01.15.02";"1.01";"15";"02";"Pembangunan rumah dinas kepala sekolah, guru, penjaga sekolah";0
"1.01.15.03";"1.01";"15";"03";"Penambahan ruang kelas sekolah";0
"1.01.15.04";"1.01";"15";"04";"Penambahan ruang guru sekolah";0
"1.01.15.05";"1.01";"15";"05";"Pembangunan ruang locker siswa";0
"1.01.15.06";"1.01";"15";"06";"Pembangunan sarana dan prasarana olahraga";0
"1.01.15.07";"1.01";"15";"07";"Pembangunan saranan dan prasarana bermain";0
"1.01.15.08";"1.01";"15";"08";"Pembangunan ruang serba guna/aula";0
"1.01.15.09";"1.01";"15";"09";"Pembangunan taman, lapangan upacara dan fasilitas parkir";0
"1.01.15.10";"1.01";"15";"10";"Pembangunan ruang unit kesehatan sekolah";0
"1.01.15.11";"1.01";"15";"11";"Pembangunan ruang ibadah";0
"1.01.15.12";"1.01";"15";"12";"Pembangunan perpusatakaan sekolah";0
"1.01.15.13";"1.01";"15";"13";"Pembangunan jaringan instalasi listrik sekolah dan perlengkapannya";0
"1.01.15.14";"1.01";"15";"14";"Pembangunan sarana air bersih dan sanitary";0
"1.01.15.15";"1.01";"15";"15";"Pengadan buku-buku dan alat tulis siwa";0
"1.01.15.16";"1.01";"15";"16";"Pengadaan pakaian seragam sekolah";0
"1.01.15.17";"1.01";"15";"17";"Pengadaan pakaian olahraga";0
"1.01.15.18";"1.01";"15";"18";"Pengadaaan alat praktik dan peraga siswa";0
"1.01.15.19";"1.01";"15";"19";"Pengadaan mebeluer sekolah";0
"1.01.15.20";"1.01";"15";"20";"Pengadaan perlengkapan sekolah";0
"1.01.15.21";"1.01";"15";"21";"Pengadaaan alat rumah tangga sekolah";0
"1.01.15.22";"1.01";"15";"22";"Pengadaaan sarana mobilitas sekolah";0
"1.01.15.23";"1.01";"15";"23";"Pemeliharaan rutin/berkala bangunan sekolah";0
"1.01.15.24";"1.01";"15";"24";"Pemeliharaan rutin/berkala rumah dinas kepala sekolah, guru, penjaga sekolah";0
"1.01.15.25";"1.01";"15";"25";"Pemeliharaan rutin/berkala ruang kelas sekolah";0
"1.01.15.26";"1.01";"15";"26";"Pemeliharaan rutin/berkala ruang guru sekolah";0
"1.01.15.27";"1.01";"15";"27";"Pemeliharaan rutin/berkala ruang locker siswa";0
"1.01.15.28";"1.01";"15";"28";"Pemeliharaan rutin/berkala sarana dan prasarana olahraga";0
"1.01.15.29";"1.01";"15";"29";"Pemeliharaan rutin/berkala sarana dan prasarana bermain";0
"1.01.15.30";"1.01";"15";"30";"Pemeliharaan rutin/berkala ruang serba guna/aula";0
"1.01.15.31";"1.01";"15";"31";"Pemeliharaan rutin/berkala taman, lapangan uapacara dan fasilitas parkir";0
"1.01.15.32";"1.01";"15";"32";"Pemeliharaan rutin/berkala ruang unit kesehatan sekolah";0
"1.01.15.33";"1.01";"15";"33";"Pemeliharaan rutin/berkala ruang ibadah";0
"1.01.15.34";"1.01";"15";"34";"Pemeliharaan rutin/berkala perpustakaan sekolah";0
"1.01.15.35";"1.01";"15";"35";"Pemeliharaan rutin/berkala jaringan instalasi listrik sekolah dan perlengkapannya";0
"1.01.15.36";"1.01";"15";"36";"Pemeliharaan rutin/berkala sarana air bersih dan sanitary";0
"1.01.15.37";"1.01";"15";"37";"Pemeliharaan rutin/berkala alat peraktik dan peraga siswa";0
"1.01.15.38";"1.01";"15";"38";"Pemeliharaan rutin/berkala mebeluer sekolah";0
"1.01.15.39";"1.01";"15";"39";"Pemeliharaan rutin/berkala perlengkapan sekolah";0
"1.01.15.40";"1.01";"15";"40";"Pemeliharaan rutin/berkala alat rumah tangga sekolah";0
"1.01.15.41";"1.01";"15";"41";"Pemeliharaan rutin/berkala sarana mobilitas sekolah";0
"1.01.15.42";"1.01";"15";"42";"Rehabilitasi sedang/berat bangunan sekolah";0
"1.01.15.43";"1.01";"15";"43";"Rehabilitasi sedang/berat rumah dinas kepala sekolah, guru, penjaga sekolah";0
"1.01.15.44";"1.01";"15";"44";"Rehabilitasi sedang/berat asrama siswa";0
"1.01.15.45";"1.01";"15";"45";"Rehabilitasi sedang/berat ruang kelas sekolah";0
"1.01.15.46";"1.01";"15";"46";"Rehabilitasi sedang/berat ruang guru sekolah";0
"1.01.15.47";"1.01";"15";"47";"Rehabilitasi sedang/berat ruang locker siswa";0
"1.01.15.48";"1.01";"15";"48";"Rehabilitasi sedang/berat sarana olahraga";0
"1.01.15.49";"1.01";"15";"49";"Rehabilitasi sedang/berat sarana bermain";0
"1.01.15.50";"1.01";"15";"50";"Rehabilitasi sedang/berat ruang serba guna/aula";0
"1.01.15.51";"1.01";"15";"51";"Rehabilitasi sedang/berat taman, lapangan upacara dan fasilitas parkir";0
"1.01.15.52";"1.01";"15";"52";"Rehabilitasi sedang/berat ruang unit kesehatan sekolah";0
"1.01.15.53";"1.01";"15";"53";"Rehabilitasi sedang/berat ruang ibadah";0
"1.01.15.54";"1.01";"15";"54";"Rehabilitasi sedang/berat perpustakaan sekolah";0
"1.01.15.55";"1.01";"15";"55";"Rehabilitasi sedang/berat jaringan instalasi listrik dan perlengkapannya";0
"1.01.15.56";"1.01";"15";"56";"Rehabilitasi sedang/berat sarana air bersih dan sanitary";0
"1.01.15.57";"1.01";"15";"57";"Pelatihan kompetensi tenaga pendidik";0
"1.01.15.58";"1.01";"15";"58";"Pengembangan pendidikan anak usia dini";0
"1.01.15.59";"1.01";"15";"59";"Penyelenggaraan pendidikan anak usia dini";0
"1.01.15.60";"1.01";"15";"60";"Pengembangan data dan informasi pendidikan anak usia dini";0
"1.01.15.61";"1.01";"15";"61";"Penyusunan kebijakan pendidikan anak usia dini";0
"1.01.15.62";"1.01";"15";"62";"Pengembangan kurikulum, bahan ajar dan model pembelajaran pendidikan ank usia dini";0
"1.01.15.63";"1.01";"15";"63";"Penyelenggaraan koordinasi dan kerjasama pendidikan anak usia dini";0
"1.01.15.64";"1.01";"15";"64";"Perencanaan dan penyusunan program anak usia dini";0
"1.01.15.65";"1.01";"15";"65";"Publikasi dan sosialisasi pendidikan anak usia dini";0
"1.01.15.66";"1.01";"15";"66";"Monitoring, evaluasi dan pelaporan";0
"1.01.15.67";"1.01";"15";"67";"Penyelenggaraan Apresiasi pendidik tenaga kependidikan pada pendidikan non formal (PTK-PNFI)";0
"1.01.15.68";"1.01";"15";"68";"Penyelenggaraan Gugus PAUD dan REKOR MURI";0
"1.01.15.69";"1.01";"15";"69";"Peningkatan Prestasi dan Kreativitas Peserta Didik PAUD Non Formal dan Formal";0
"1.01.15.70";"1.01";"15";"70";"Penyelenggaran Pekan Olahraga dan Seni PAUD Formal (TK)";0
"1.01.16.01";"1.01";"16";"01";"Pembangunan gedung sekolah";0
"1.01.16.02";"1.01";"16";"02";"Pembangunan rumah dinas kepala sekolah, guru, penjaga sekolah";0
"1.01.16.03";"1.01";"16";"03";"Penambahan ruang kelas sekolah";0
"1.01.16.04";"1.01";"16";"04";"Penambahan ruang guru sekolah";0
"1.01.16.05";"1.01";"16";"05";"Pembangunan ruang locker siswa";0
"1.01.16.06";"1.01";"16";"06";"Pembangunan sarana dan prasarana olahraga";0
"1.01.16.07";"1.01";"16";"07";"Pembangunan sarana dan prasarana bermain";0
"1.01.16.08";"1.01";"16";"08";"Pembangunan ruang serba guna/aula";0
"1.01.16.09";"1.01";"16";"09";"Pembangunan taman, lapangan upacara dan fasilitas parkir";0
"1.01.16.10";"1.01";"16";"10";"Pembangunan ruang unit kesehatan sekolah";0
"1.01.16.100";"1.01";"16";"100";"Penyelenggaraan Ujian Akhir SMP";0
"1.01.16.101";"1.01";"16";"101";"Pelatihan Kompetensi Siswa Berprestasi SMP";0
"1.01.16.102";"1.01";"16";"102";"Pembinaan minat, bakat dan kreativitas siswa berbahasa inggris";0
"1.01.16.103";"1.01";"16";"103";"Pelatihan Kompetensi Guru Exstrakuriler SD";0
"1.01.16.105";"1.01";"16";"105";"Belanja Operasional DAK Bidang SD/SDLB/MIN/MI";0
"1.01.16.106";"1.01";"16";"106";"Belanja Operasiona DAK Bidang SMP/SMPLB/MTsN/MTS Swasta";0
"1.01.16.108";"1.01";"16";"108";"Pembinaan Minat Bakat Robotic Siswa SMP";0
"1.01.16.109";"1.01";"16";"109";"Peningkatan Prestasi Ekstrakuliler SMP";0
"1.01.16.11";"1.01";"16";"11";"Pembangunan ruang ibadah";0
"1.01.16.110";"1.01";"16";"110";"Bimbingan dan Penyuluhan Bagi Remaja Tingkat SMP";0
"1.01.16.112";"1.01";"16";"112";"Pengadaan Buku Pendidikan/Alat Peraga Sekolah Menengah Pertama";0
"1.01.16.113";"1.01";"16";"113";"Biaya Operasional Sanitasi Berbasis Sekolah";0
"1.01.16.114";"1.01";"16";"114";"Pendampingan Program Sanitasi Berbasis Sekolah ";0
"1.01.16.115";"1.01";"16";"115";"Pembangunan Gedung Sekolah Menegah Pertama (USB)";0
"1.01.16.116";"1.01";"16";"116";"Pelatihan Kompetensi Bidang Studi Ekstra Kulikuler SD";0
"1.01.16.117";"1.01";"16";"117";"Kompetensi Guru Berprestasi SD";0
"1.01.16.118";"1.01";"16";"118";"Workshop Pembelajaran dan Penilaian TK/SD";0
"1.01.16.119";"1.01";"16";"119";"Pengembangan Kurikulum TK/SD";0
"1.01.16.12";"1.01";"16";"12";"Pembangunan perpusatakaan sekolah";0
"1.01.16.120";"1.01";"16";"120";"Penyelengaraan Bimbingan Teknis Guru Kelas Rendah";0
"1.01.16.121";"1.01";"16";"121";"Sosialisasi Kurikulum SMP dan Pengembangan Kompetensi Pembelajaran Dikelas ";0
"1.01.16.122";"1.01";"16";"122";"Fasilitasi Akreditasi SMP";0
"1.01.16.125";"1.01";"16";"125";"Penyediaan Beasiswa Bagi siswa SMP Berprestasi";0
"1.01.16.127";"1.01";"16";"127";"Implementasi Kurikulum 2013 dan Ujian Nasional 2014";0
"1.01.16.128";"1.01";"16";"128";"Pengadaan Mebeuler Tingkat Sekolah Dasar ";0
"1.01.16.13";"1.01";"16";"13";"Pembangunan jaringan instalasi listrik sekolah dan perlengkapannya";0
"1.01.16.130";"1.01";"16";"130";"Pengadaan Mebeuler Tingkat Sekolah Menengah Pertama";0
"1.01.16.131";"1.01";"16";"131";"Penyelenggaraan Try Out Ujian Nasional SMP";0
"1.01.16.132";"1.01";"16";"132";"Pembinaan Minat, Bakat dan Kreativitas Siswa Tingkat Sekolah Menengah Pertama";0
"1.01.16.133";"1.01";"16";"133";"Biaya Operasional Sanitasi Berbasis Sekolah";0
"1.01.16.134";"1.01";"16";"134";"Pelatihan Kompetensi Penilaian dan Pembelajaran Tenaga Pendidikan Taman Kanak-Kanak";0
"1.01.16.135";"1.01";"16";"135";"Workshop Pengembangan Bahan, Model dan Perencanaan Pembelajaran Kurikulum Pendidikan Taman Kanak-Kanak";0
"1.01.16.136";"1.01";"16";"136";"Pengembangan Mutu dan Kualitas Program Pendidik dan Pelatihan Bagi Pendidikan dan Tenaga Pendidikan (Workshop)";0
"1.01.16.137";"1.01";"16";"137";"Pembinaan Lanjutan Kompetensi Siswa Berprestasi Sekolah Dasar (O2SN) SD";0
"1.01.16.138";"1.01";"16";"138";"Penyelenggaraan Bimbingan Teknis, Validasi Kurikulum SD dan Kurikulum Mata Pelajaran Olah Raga";0
"1.01.16.139";"1.01";"16";"139";"Pembinaan Minat Bakat, Kreativitas Siswa Tingkat Sekolah Dasar (SD)";0
"1.01.16.14";"1.01";"16";"14";"Pembangunan sarana air bersih dan sanitary";0
"1.01.16.140";"1.01";"16";"140";"Sosialisasi Akreditasi Sekolah Dasar";0
"1.01.16.141";"1.01";"16";"141";"Penyelenggaraan Ujian Sekolah dan UASBN Pendidikan Agama Tingkat Sekolah Dasar";0
"1.01.16.142";"1.01";"16";"142";"Fasilitasi Program Unggulan Akademik Sekolah Dasar";0
"1.01.16.143";"1.01";"16";"143";"Penyelenggaraan Ujian Sekolah dan UASBN Pendidikan Agama Tingkat Sekolah Menengah Pertama";0
"1.01.16.145";"1.01";"16";"145";"Pemilihan Uji Kompetensi Guru, Kepala Sekolah dan Pengawas Sekolah Berprestasi Tingkat Sekolah dasar (SD)";0
"1.01.16.146";"1.01";"16";"146";"Sosialisasi Penanaman Pendidikan Anti Korupsi pada Kurikulum 2013";0
"1.01.16.147";"1.01";"16";"147";"Pembinaan Perilaku Hidup Bersih dan Sehat bagi Siswa Sekolah Dasar";0
"1.01.16.15";"1.01";"16";"15";"Pengadan buku-buku dan alat tulis siwa";0
"1.01.16.150";"1.01";"16";"150";"Olimpiade Olahraga Siswa Nasional (O2SN) SMP";0
"1.01.16.151";"1.01";"16";"151";"Peningkatan Prestasi Siswa SMP Terbuka";0
"1.01.16.152";"1.01";"16";"152";"Pembinaan  siswa Berprestasi SMP";0
"1.01.16.153";"1.01";"16";"153";"USB Sekolah Dasar Wilayah I";0
"1.01.16.154";"1.01";"16";"154";"USB Sekolah Dasar Wilayah II";0
"1.01.16.155";"1.01";"16";"155";"USB Sekolah Dasar Wilayah III";0
"1.01.16.156";"1.01";"16";"156";"USB Sekolah Dasar Wilayah IV";0
"1.01.16.16";"1.01";"16";"16";"Pengadaan pakaian seragam sekolah";0
"1.01.16.17";"1.01";"16";"17";"Pengadaan pakaian olahraga";0
"1.01.16.18";"1.01";"16";"18";"Pengadaaan alat praktik dan peraga siswa";0
"1.01.16.19";"1.01";"16";"19";"Pengadaan mebeluer sekolah";0
"1.01.16.20";"1.01";"16";"20";"Pengadaan perlengkapan sekolah";0
"1.01.16.21";"1.01";"16";"21";"Pengadaaan alat rumah tangga sekolah";0
"1.01.16.22";"1.01";"16";"22";"Pengadaaan sarana mobilitas sekolah";0
"1.01.16.23";"1.01";"16";"23";"Pemeliharaan rutin/berkala bangunan sekolah";0
"1.01.16.24";"1.01";"16";"24";"Pemeliharaan rutin/berkala rumah dinas kepala sekolah, guru, penjaga sekolah";0
